score,userName,review
4,Grandmaster Marti,"So, I’m a very beginner editor and was happy to come across capcut seeing as that it was free and had great reviews. I have almost mastered this app completely and don’t want to leave and switch over to something that’s paid when capcut is doing things that every other editing service is doing. However, there is always room to grow, especially for the editors who’s skills are growing faster and wanting more. A few of my recommendations is having more advanced and better options for speed. Please add more filters (specifically in the border area), and add ones that are different and will give our videos good quality(I’m pretty sure y’all can come up with something!). I ask that we get more font options and allow us to use more than 1 animation for out fonts PLEASEE!! Those are just a few of my recommendations. Now, on to my concerns the app does lag a little, and constantly says that I’m out of storage and I delete a lot of previous edits just to make new ones, and I’m getting concerned that the app will just not be enough for me. It’s already taken up most of my storage andI really want it to be worth it, but all these glitches, lags, and thirst for storage is not going to make using this app worth it. I hope someone sees this, and I hope you have a great rest of your day/night."
5,jasᵔᴥᵔ◡̈,"I love capcut! I appreciate how everything is free and how you can remove the watermark at the end. I have been using this app for like a year now and i think its great and easy to use. i do have some recommendations though because i do find some little issues or something i would like to be better/fixed. so my first recommendation is that you guys should maybe add more animations to both, texts and clips. for the texts, i think itd be cool to have more varieties to choose from. i know there's a lot of choices already but i mean that maybe if possible, there could be combos like there is for clips. i think itd look great on edits and would be very useful. and now for clips, i think if you could add more ins and out transitions, it would be fun to be able to have more transitions. maybe you could even add more combos as well. id also think a new great addition would be if there were to be more shakes and stuff. I dont think theres many shakes to add to your edits so i think more would be cool. another suggestion is to make the speed adjusts cleaner. sometimes when i make it slower, it looks blury or just doesnt look like it has the same quality as it would with normal speed. i do hsve more recommendations id like to share but i dont really know exactly how to explain it but if you could add/fix those things, i think the app would be 5x better! :)"
5,Lol_what_the_heck,"Sadly, I can’t do animation, like how I do it in KineMaster, but this is still AMAZING. the stickers are beyond adorable (some are like- uhm y’know that kind of EdGy but anyways-) it’s a great app. It’s actually a step up from KineMaster, which I did not expect. I’m so happy we are able to delete the watermark at the end, it’s just great. And everything is free! it’s awesome and it’s pretty much everything you need (sadly no animation key thing.) the chroma key is SOO good. I can remove part of my green/pink screen in the background  without any pink/green thing on my character or art disappearing! The effects are really nice and aesthetic, and some are just really cool. (some are kinda uhm weird imo) the effects are perfect for edits, the retro or vintage ones have to be my favorite! Also the in and out animations are cool, and there are some that are for the whole duration of the video/photo, which is cool. The customization abilities for the text are great. You can give the text a font, color, some special design (example: making it glow) in and out transitions, animations that last for the duration the text is on the screen, and you can put it in a text box or something, and there are some really cute ones! There is so much I haven’t explored yet,  and I know it’ll probably be good. I recommend this app for beginners, pros, anyone really. 5 stars, 10/10 I love the app  Sincerely, -a person"
5,🌸𝔸𝕚𝕪𝕒𝕟𝕒🌸,"First of all, I love this app so much, so in now way or form is this hate. I’d like to state some of my suggestions to improve CapCut! So the first suggestion I was thinking of is a feature where you can add graphs to you keyframes to make them look smoother. Another suggestion I have is more fonts. I do love some of the fonts you’ve provided us with, but I would love if there was a way we could upload our own fonts into the app. I’ve been thinking about this next suggestion for quite some time now, and I think it would be really effective and really improve this app! Maybe you could add a feature where we can make our own transitions? Now, I realize this might be a stretch, but hear me out: if we could make our own transitions, it would really increase our creativity skills. I know that other apps already have this feature, but I feel like CapCut is better, considering it’s 100% free! Oh! One more thing I’d like to mention. I was thinking you could add more mask shapes? Like maybe a feature where we could mask our own shapes? Ooh and maybe we could mask our clip and you could add a feature where we can have a glow effect around the masked area? Idk, it was just a thought. Well I hope you take some of these into consideration. Have a nice day!"
4,sdrakeofficial,"I would love a more in depth audio editing interface, with mixers for the different layers that indicate the sound levels. I’d also love the ability to use an equalizer on any audio track individually along with audio filters (Having to extract audio from a video in order to add voice effects doesn’t count). This, along with the ability to change more render settings would be great. For example, changing the bitrate for the entirety of the video could be simplified using a slider that goes from “smaller size, lower quality” to “larger size, higher quality.” The ability to render in the background would also be a much appreciated feature as a lot of us who use CapCut to edit do so on our main device that we need to access, and on larger projects it’s impossible to get a render done. Even older devices are capable of background rendering. I’m sure many people would be willing to wait for a slightly longer render in favor of being able to use their phone or tablet whilst the render is being completed. (An indicator can be used to signal whether the render is ongoing, has failed, or has finished). One last thing. Im sure many would enjoy a precision movement tool that allowed for things like key framing to be more precise when changing the size of location of a clip."
4,tddttfttl,"This is a short review bc in too lazy but the app is basically useless for me if i can’t even add a video edit a video. I’m saying this bc every time I open the app and click add it says my storage is full😐 I am mad bc i delete and delete things but it says the same thing i power off my phone but it still says that and I can’t even edit. But other than that, it’s a pretty good app u can remove the watermark FOR FREE and most editing apps make you pay. It has decent effects filters etc. overlays are good and trimming is very easy for people that just started. I think it’s a great app for first timers it’s easy to use it’s not updated very much just bug fixes and a few new effects but everything is alright. It’s easy to add your own watermark too and many choices, you can make it look like vs which is cool and useful for those who get bullied for using CapCut. Speed and velocity are something that need a bit more work I say it’s not very smooth kinda laggy too,also we need more effects don’t get me wrong the ones we have are GREAT but I feel like they’re getting… old. It’s also good it’s not all presets unlike many other apps. But yeah my honest opinion about this is good"
5,Ashley🤝,"Hello capcut team. I've made 3 reviews or more on this app, and all of them were weird..and childish. I've matured over the days, weeks, months, & years. And here's my final (?) review I hope not to change because of accidents or just, childishness. This app is overall good. Sadly, there aren't any effects I'd hope to find. But this is the most easiest app for editing I've seen. So, that's fine. Most of the transitions are good, some are meh…But it's fine if you don't mind that, and besides kinemaster it's so easy to use! The exporting is way faster than kinemaster's. if you make a 2 minute video, it's done quickly. But not in 10 seconds you actually need to wait. But for kinemaster? Pfft. Don’t even get me started! But, there is something that bothers me. The zooming in. Kinemaster's zooming is just amazing! You can do memes with it and a bunch of other stuff(Zooming in for animations, gacha life, gacha club, etc.) But capcut's zooming kinda annoys me all the time I use it. I use the key (I forgot what it's called, sorry.) thing to zoom in, but it turns out horrible. And, yes. Effects have zooming in, but those bother me too! That's the only issue I have. Buts that's all! Goodbye capcut team, Keep up the good work."
5,teuegyefeyegyegeywtywyyw,I know that some of y’all are great editors out there but I’m gonna give y’all some more things that you should probably do a .CapCut one of the first things that you should do is you should look at all the edit editing that people have been doing on there and you look at your edits from back then on your other app that you’ve been using this is completely free app you don’t need any of your money to pay for it these these are facts that are on here are really good they they have a good quality they just look good overall add a lot a lot of affects to one of your pictures or videos and one of the things that I just wanna put out there is that some of y’all are pros at this and some of y’all are not processes but that’s OK because anybody doesn’t have to be pressed to have a good editing a edit sorry no editing and if you don’t think your edit is good go back and look through and just look through the edit that you did if you don’t look through the edit that you did it’s fine because you can try affects you can try writing on it you can try doing a lot of stuff on it there’s a lot more stuff than it looks like love CapCut.
4,Jacob Frey,"I think that the app is amazing I use it on all of my TikTok videos but one very minor criticism of the app I have is that if maybe I delete some thing but i maybe deleted the wrong thing or I have a good idea that I want to put into the video I just made but because I deleted the original draft on CapCut because I was going to post a TikTok for example I won’t be able to go back and get the original draft from CapCut if I deleted it. So what I’m trying to say is I think that there should be a temporary trash pile section so that just in case somebody deleted the wrong thing or they want to edit it but didn’t expect to, they don’t have to worry about redoing everything they just did they can just go back to the original thing and recover it and just add in or take out whatever it is they were going to do. The trash pile would be the best thing that you could add to the app right now that’s the only reason I’ve given a four star review if I could’ve given a four and a half I would but it doesn’t work that way with the ratings so it really is a very minor thing but it can be quite annoying otherwise please consider it it’s very simple"
5,I have been summoned,"I make a lot of edits and capcut is great, I love the new updates lately. I do have a suggestion though,  maybe y’all could make folders for us to organize and sort out edits. I have a problem with organizing things and it would be really nice to have folders. Anyways overall this is a great app once you get the hang of it your edits will look great :) - tips - If your trying to get better quality use the effect “sharpen” you’ll have to adjust the settings of it to where the red and blue colors line up behind the black line - If your trying to make a velocity edit go to “style” dont split your clip at the beats all you have to do is wait for it to load and once it’s applied change the speed for the velocity to match the beat - To get a small flicker effect go to “text” and put “.” then change the color to white and adjust the size of it to where it’s covering the entire screen then change The opacity to 3 then go to “animation” go to ”loop” scroll over till you find “random flash” then adjust the speed as fast as it will go then click off and put it on the entire video - alright I’m done here have fun editing :)"
5,Piemaker_Pri,"So CapCut is a really great app. It has really all of the most advanced features that you couldn’t find in any other video editing app. I have seen that ads for these on Instagram and it turns out that they were not lying about these features. This is basically the sole reason why I am writing this review. I don’t even know why this app has a rating of only 4.5. It should be at least 4.8. But just like any other video editing app (I should be sorry to say this lol) it has it’s flaws. I want more filters, like an invert filter. Also some people may not understand English so it may be a problem for them if they want a video editing app that could feature their language. That also applies to the effects, filters, etc. So please, allow users to select their own language. It could also be good if you could put a dark mode, be able to save your music, or SFX to the app, and name your video before you start your project. This is all I have to say. Hopefully CapCut listens to my review, so that all users of this app could get a comfortable video editing experience."
5,Madde <,"I got to say CapCut is one of the best apps out there!! It’s 100% free, and it has amazing features! I use it all the time to make random edits or Roblox edits. It makes edits so interesting and fun to do! I definitely think there could be some improvements but then again no app is perfect, but I do have some suggestions you should take into consideration: first add more voice affects, I love this feature and it makes you voice really cool but I think it would help to add more of a variety. Next I think you should improve the volume. I like that you can change the volume but it only turns up or down so much so I think you should change that. And another one is to add more fonts I absolutely love the fonts CapCut provides but I definitely think we should be able to choose our own fonts or you could add some more. Those are just a few suggestions but over all CapCut is an amazing app that I highly recommend whoever made this app is so talented and needs a lot of credit! I think there could be a few improvements but all in all it’s definitely a great and fantastic app that makes editing easy and fun!!!"
5,JΣҒҒ,"I really like this app, it doesn’t crash like my other editing software, the transitions are amazing, the effects are out of this world, and the text customization is one I’ve never seen before on mobile Editing. I just wanted to suggest that you guys that run this app give more creative control over the effects, for example letting us fade them in and fade out, how fast or slow we want the effects. I also wanted to suggest and ask if you guys could put in an option where we just switch are clips from video to overlay and also the ability to lock/pin our overlays. Also, an option where we can automatically resize our video to full screen because since there’s not an option to it may not go 100% back to the full screen. Last thing I’d like to request is if you guys could put an option where we can unlink the audio from the video two adjusted and move around as necessary. Again this app is superb and I just think these suggestions that I’ve provided would help a lot of others editing experience on this app. Thank you for your time."
4,heylo24,"Don’t get me wrong, this app is great! It is 100% free, NO watermark, and has some really good features! It built-in stickers and filters that are well and good. Also, did I mention, IT HAS MULTIPLE LAYERS!! That’s friekin incredible!! I tested and it has up to five other layers of video or photo! This is one of the only apps on mobile that actually has multiple layers and is free! Onto the not so good things...It has most of the basic features you need EXCEPT good Volume, the volume feature is really bad, you can barely turn the volume down it only sounds SLIGHTLY quieter when you’re almost all the way at the “0” volume thing. Also, in my opinion there should be more options for volume customization maybe such as “audio stabilization” or something like that. Also the slow-down effects and the voice effects could use work. It has some really useful filters with camcorder and 90’s effects built into the app which is really cool. The transitions are actually surprisingly un-cheesy. I wanted to say thank you to the person who made this app! It is a really good app and definitely could use some changes but overall It’s really great!"
4,jejanxofjd,"I love this app! I recommend it for Gachatubers, editors, photos, aesthetic videos, YouTubers…etc. The point is: It’s a great app that is not super complicated to use. Obviously you can make it complicated if you’re more advanced (something I am not), but it’s an amazing app! The only somewhat big problem I have is that it can be slow. Usually when I add many videos/photos it starts to not download stuff into the camera roll. But that’s it and I’ve only recently have trouble when I make big projects! Thank you to the CapCut team! Keep up the good work! Edit: Hi! So it has been a LONG time of me using it- Ok not that long. Like a year or something. But anyways, it’s a great app still. The thing is it takes up SO much storage. Like I’m almost out of storage on my phone 😭 I don’t know how apps are made, but I know they all have to have certain things. If there is a way that the storage concern could be taken care of it would be greatly appreciated. 😁 I still recommend downloading this app, but be careful of the storage issue. Watch some videos to know what could cause the storage to go up to limit doing certain things!"
5,AMAGICisallaroundyou34521,"I can’t believe this app is still FREE! This is  the best editing app I have, it’s literally my life! Everything is so easy to figure out, and there’s so many things to do! It never crashes, the transitions are beautiful, there is a very wide variety of effects and so much more. First off, the transitions. They are so great, and there is so many types of them! You can keep it plain or change it up with some effects in the transition! Next, the effects. They’re so amazing, and there is so many to choose from. There are categories like bling, party, shadow, comic and more! You can also add texts to your video. You can choose how long the text stays on screen, choose from a big selection of fonts, colors and effects to your text! Again, everything is so easy to do and very easy to figure out. I use this so much for so many kinds of edits. My favorite part about this is that you can add audio. You can choose from a lot of different default sounds, extract audio from video clips, and trim the sound! CapCut is amazing, and if you’re looking for an editing app I definitely suggest this!"
