Keyword Stats 2022-05-28 at 09_02_52
2020年5月1日 - 2022年4月30日
Keyword	Currency	Avg. monthly searches	三个月变化	年同比变化	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: May 2020	Searches: Jun 2020	Searches: Jul 2020	Searches: Aug 2020	Searches: Sep 2020	Searches: Oct 2020	Searches: Nov 2020	Searches: Dec 2020	Searches: Jan 2021	Searches: Feb 2021	Searches: Mar 2021	Searches: Apr 2021	Searches: May 2021	Searches: Jun 2021	Searches: Jul 2021	Searches: Aug 2021	Searches: Sep 2021	Searches: Oct 2021	Searches: Nov 2021	Searches: Dec 2021	Searches: Jan 2022	Searches: Feb 2022	Searches: Mar 2022	Searches: Apr 2022	Concept: Computer	Concept: Company	Concept: Other Brands	Concept: Non-Brands	Concept: Device	Concept: Others	Concept: Element
capcut	SGD	49500	22%	122%	低	9	0.44	1.34					Y	10	1600	2400	3600	5400	6600	12100	18100	27100	33100	49500	49500	90500	74000	74000	74000	60500	90500	74000	90500	90500	90500	90500	110000							
capcut apk	SGD	880	0%	81%	低	11	0.07	0.34					Y	0	40	110	110	170	260	320	480	590	590	880	720	1300	1600	1600	1000	1000	1300	1300	1300	1000	1300	1600	1300				Non-Brands		apk	
capcut app	SGD	4400	-19%	83%	低	23	0.32	1.47					Y	0	140	390	480	590	720	1300	1600	2400	3600	4400	3600	8100	6600	6600	5400	6600	9900	8100	8100	9900	8100	8100	6600				Non-Brands	android	video editing	
capcut apk download	SGD	170	-46%	179%	低	22	0.08	0.45					Y	0	0	0	20	30	30	90	50	70	70	90	140	260	390	320	170	140	90	140	260	260	720	390	390				Non-Brands	android	apk	
capcut for pc	SGD	1900	-45%	-45%	低	6	0.62	1.37					Y	0	30	20	50	140	210	390	880	1300	1900	3600	4400	1300	2900	4400	4400	4400	3600	1300	1600	4400	4400	1600	2400				Non-Brands	windows		download for pc
capcut pc	SGD	1600	238%	523%	低	4	0.68	1.64					Y	0	20	30	20	50	90	210	260	480	590	880	1300	1900	2400	1900	1600	1900	2900	1900	2400	2900	2400	5400	8100				Non-Brands			download for pc
capcut download	SGD	1900	-57%	46%	低	19	0.27	1.07					Y	0	50	110	110	210	210	320	480	590	720	1000	1300	2400	2400	1900	1900	1900	2900	4400	5400	5400	4400	3600	1900				Non-Brands		apk	
capcut pro apk	SGD	170	24%	50%	低	1							Y	0	0	40	30	70	70	70	110	260	210	170	140	170	260	320	260	210	260	260	210	170	170	170	210				Non-Brands		"apk, pro"	
capcut app download	SGD	480	-33%	23%	低	29	0.24	1.00					Y	0	10	30	30	70	50	110	170	210	320	480	480	880	1000	1300	1000	880	880	720	720	590	880	720	590				Non-Brands	android		
capcut online	SGD	1000	-33%	23%	低	28	0.51	1.10					Y	0	10	10	30	40	90	170	390	720	1300	1600	1300	1900	1900	1300	1000	880	1300	1900	2400	2400	2400	1900	1600				Non-Brands			
capcut download pc	SGD	480	-19%	-19%	低	7	0.60	1.04					Y	0	0	20	10	20	30	70	140	260	390	590	590	590	590	720	720	720	1000	1000	720	720	590	590	480				Non-Brands			download for pc
capcut video editor	SGD	1000	177%	309%	低	30	0.52	2.05					Y	0	40	110	90	170	480	1300	2400	1900	880	1300	880	1300	1000	1000	880	720	880	880	1000	1300	1300	1900	3600				Non-Brands		"video editing, video editor"	
cap cut apk download	SGD	20	0%	-67%	低	14	0.06	0.31					Y	0	0	20	10	10	10	10	10	10	30	30	30	50	40	50	30	30	10	10	10	10	10	10	10				Non-Brands	android	"apk, pro"	
capcut 3d	SGD	880	22%	3800%	低	5	0.30	1.47					Y	0	0	0	0	10	10	10	10	10	10	10	10	8100	5400	1600	880	480	2900	320	260	320	320	210	390				Non-Brands			
capcut pro apk download	SGD	30	-20%	33%	低	3							Y	0	0	10	0	0	10	20	10	20	20	30	30	90	110	70	40	40	30	30	30	10	50	90	40				Non-Brands	android	"apk, pro"	
download video capcut	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	10	0	10	10	0	10	10	10	10	0	10	10	10	10	10				Non-Brands		video editing	
capcut editor	SGD	260	50%	129%	低	25	0.55	1.58					Y	0	10	10	10	10	30	40	90	90	140	140	210	260	390	720	720	320	260	320	320	390	320	320	480				Non-Brands		"video editing, video editor"	
capcut free download	SGD	90	0%	27%	低	18	0.26	1.14					Y	0	0	0	10	10	10	30	50	50	90	110	110	170	170	140	110	110	110	110	170	140	140	140	140				Non-Brands		apk	
cap cut pro	SGD	30	25%	25%	低	2							Y	0	0	10	10	10	10	10	20	40	20	40	40	40	50	30	40	30	30	40	40	40	40	30	50				Non-Brands		pro	
capcut 3d zoom	SGD	880	-19%	∞	低	2	0.23	0.78					Y	0	0	0	0	0	0	0	0	0	0	0	0	8100	1900	720	480	260	5400	1000	720	880	590	480	480			zoom			2021	
capcut apk pro	SGD	10	0%	0%	低	2							Y	0	0	0	0	0	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10				Non-Brands	android	"apk, pro"	
capcut web	SGD	260	23%	50%	低	6	0.48	1.86					Y	0	0	20	10	20	50	90	110	140	260	390	320	480	480	390	390	320	390	390	480	480	390	390	480				Non-Brands			
capcut for laptop	SGD	70	89%	143%	低	9	0.71	10.61					Y	0	0	10	10	10	10	20	30	30	50	50	70	70	110	110	90	110	70	110	90	90	90	90	170	laptop			Non-Brands			
capcut apk free download	SGD	30	-50%	-50%	低	12							Y	0	0	0	0	10	10	10	10	20	20	30	20	30	40	50	90	70	90	90	40	90	20	10	10				Non-Brands	android	apk	
app capcut	SGD	30	80%	200%	低	11	0.42	1.85					Y	0	10	10	10	10	10	10	20	20	20	20	30	30	90	90	40	30	40	50	50	50	50	70	90				Non-Brands			
download capcut for pc	SGD	30	0%	-71%	低	11	0.84	2.37					Y	0	0	0	10	10	10	20	10	30	40	50	70	30	40	50	20	30	70	50	40	30	20	20	20	computer			Non-Brands	windows		download for pc
capcut download apk	SGD	30	80%	200%	低	21	0.09	0.38					Y	0	0	0	0	0	0	10	10	10	10	30	30	50	50	30	30	30	20	30	50	50	50	70	90				Non-Brands		apk	
capcut chinese app	SGD	50	0%	0%	低	9	11.30	16.55					Y	0	10	10	20	40	20	10	30	50	90	50	50	110	70	90	50	50	50	40	50	40	50	40	50				Non-Brands	android	chinese	
capcut pc download	SGD	170	50%	129%	低	8	0.65	1.36					Y	0	0	0	10	20	10	10	30	70	70	110	170	260	260	260	260	210	390	480	260	320	260	320	390				Non-Brands			download for pc
capcut 3d effect	SGD	260	-18%	∞	低	3	0.48	3.40					Y	0	0	0	0	0	0	0	0	0	0	0	0	1900	1600	320	90	110	1300	170	90	210	170	140	140				Non-Brands			
capcut app free download	SGD	70	189%	767%	低	25	0.14	1.10					Y	0	0	0	10	0	10	10	10	10	10	10	30	140	210	140	140	90	90	110	90	110	90	210	260				Non-Brands	android	video editing	
capcut windows	SGD	90	27%	27%	低	4	1.21	5.67					Y	0	0	10	10	10	10	10	30	30	50	70	110	170	210	140	170	170	210	210	110	140	110	110	140				Non-Brands	windows		download for pc
viamaker apk	SGD	10	0%	0%	低	6							Y	40	40	10	10	10	10	10	10	20	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10				Non-Brands	android	apk	
capcut for windows	SGD	170	21%	-19%	低	3	0.73	2.52					Y	0	0	40	40	40	70	50	90	90	140	170	210	390	320	320	320	210	390	590	140	260	140	170	170				Non-Brands	windows		
capcut for mac	SGD	390	22%	50%	低	1	0.63	1.53					Y	0	0	0	30	40	50	110	170	210	390	480	480	480	590	480	590	480	480	480	590	720	590	720	720				Non-Brands	mac		download for mac
viamaker apk download	SGD	10	-100%	-100%	未知								Y	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	0	0	10	10	10	0	0				Non-Brands	android	apk	
capcut app download for pc	SGD	50	357%	3100%	低	10	0.52	1.63					Y	0	0	0	0	0	0	0	0	0	10	10	10	110	140	140	110	70	70	70	70	50	70	90	320				Non-Brands	windows		download for pc
3d capcut	SGD	210	0%	∞	低	3							Y	0	0	0	0	0	0	0	0	0	0	0	0	2900	1300	210	110	70	320	90	50	70	40	50	40				Non-Brands		2021	
capcut app for pc	SGD	90	143%	55%	低	16	0.58	1.42					Y	0	0	0	10	10	10	10	20	70	50	90	110	110	170	140	170	170	170	110	110	110	70	110	170				Non-Brands	windows	video editing	download for pc
capcut online pc	SGD	30	-57%	50%	低	12	0.64	1.12					Y	0	0	0	0	0	0	10	10	10	10	10	20	30	70	70	40	40	70	70	50	70	70	40	30				Non-Brands			
capcut login	SGD	110	-19%	271%	低	4	0.40	1.40					Y	0	0	0	0	0	10	10	20	30	50	50	70	90	110	70	90	110	210	260	390	390	320	260	260				Non-Brands		login	
capcut app download apk	SGD	10	0%	0%	低	10							Y	0	0	0	10	0	10	10	10	10	10	10	10	10	10	30	30	20	10	10	20	10	10	10	10				Non-Brands	android	apk	
3d zoom capcut	SGD	260	-47%	∞	低	2	0.41	0.73					Y	0	0	0	0	0	0	0	0	0	0	0	0	2400	720	210	110	210	1000	260	170	320	320	260	170			zoom				
preset capcut	SGD	10	100%	∞	低	8	1.01	1.60					Y	0	0	0	0	10	10	0	10	0	10	10	0	10	10	10	10	10	10	10	10	0	10	10	20				Non-Brands			
